Asset,Name,Ticker,Date,Open,High,Low,Close,Volume
AAPL,Apple Inc.,AAPL,2026-01-07,262.954,263.4335,259.5671,260.0866,48309800
AAPL,Apple Inc.,AAPL,2026-01-08,256.7797,259.0476,255.461,258.7979,50419300
AAPL,Apple Inc.,AAPL,2026-01-09,258.8378,259.9667,255.9805,259.1275,39997000
AAPL,Apple Inc.,AAPL,2026-01-12,258.9177,261.0557,256.5599,260.0067,45263800
AAPL,Apple Inc.,AAPL,2026-01-13,258.4781,261.5652,258.1485,260.8059,45730800
AAPL,Apple Inc.,AAPL,2026-01-14,259.2474,261.5753,256.47,259.717,40019400
AAPL,Apple Inc.,AAPL,2026-01-15,260.4063,260.796,256.8097,257.9686,39388600
AAPL,Apple Inc.,AAPL,2026-01-16,257.6589,258.658,254.6917,255.2911,72142800
AAPL,Apple Inc.,AAPL,2026-01-20,252.4937,254.5518,243.1924,246.4694,80267500
AAPL,Apple Inc.,AAPL,2026-01-21,248.4675,251.3248,244.9508,247.4185,54641700
AAPL,Apple Inc.,AAPL,2026-01-22,248.967,250.7654,247.918,248.1178,39708300
AAPL,Apple Inc.,AAPL,2026-01-23,247.0888,249.1769,244.4513,247.8081,41689000
AAPL,Apple Inc.,AAPL,2026-01-26,251.2449,256.3202,249.5665,255.1712,55969200
AAPL,Apple Inc.,AAPL,2026-01-27,258.9277,261.7051,257.9686,258.0285,49648300
AAPL,Apple Inc.,AAPL,2026-01-28,257.4091,258.618,254.2721,256.2003,41288000
AAPL,Apple Inc.,AAPL,2026-01-29,257.7588,259.4073,254.1722,258.0385,67253000
AAPL,Apple Inc.,AAPL,2026-01-30,254.9314,261.6551,251.9442,259.2374,92443400
AAPL,Apple Inc.,AAPL,2026-02-02,259.7869,270.2371,258.9677,269.7576,73913400
AAPL,Apple Inc.,AAPL,2026-02-03,268.9484,271.6258,267.3598,269.2281,64394700
AAPL,Apple Inc.,AAPL,2026-02-04,272.0355,278.6892,272.0355,276.2315,90545700
AAPL,Apple Inc.,AAPL,2026-02-05,277.87,279.2387,272.9746,275.6521,52977400
AAPL,Apple Inc.,AAPL,2026-02-06,276.8609,280.6474,276.6711,277.86,50453400
AAPL,Apple Inc.,AAPL,2026-02-09,277.91,278.2,271.7,274.62,44623400
AAPL,Apple Inc.,AAPL,2026-02-10,274.89,275.37,272.94,273.68,34376900
AAPL,Apple Inc.,AAPL,2026-02-11,274.7,280.18,274.45,275.5,51931300
AAPL,Apple Inc.,AAPL,2026-02-12,275.59,275.72,260.18,261.73,81077200
AAPL,Apple Inc.,AAPL,2026-02-13,262.01,262.23,255.45,255.78,56290700
AAPL,Apple Inc.,AAPL,2026-02-17,258.05,266.29,255.54,263.88,58469100
AAPL,Apple Inc.,AAPL,2026-02-18,263.6,266.82,262.45,264.35,34203300
AAPL,Apple Inc.,AAPL,2026-02-19,262.6,264.48,260.05,260.58,30845300
AAPL,Apple Inc.,AAPL,2026-02-20,258.97,264.75,258.16,264.58,42070500
AAPL,Apple Inc.,AAPL,2026-02-23,263.49,269.43,263.38,266.18,37308200
AAPL,Apple Inc.,AAPL,2026-02-24,267.86,274.89,267.71,272.14,47014600
AAPL,Apple Inc.,AAPL,2026-02-25,271.78,274.94,271.05,274.23,33714300
AAPL,Apple Inc.,AAPL,2026-02-26,274.95,276.11,270.8,272.95,32345100
AAPL,Apple Inc.,AAPL,2026-02-27,272.81,272.81,262.89,264.18,72366500
AAPL,Apple Inc.,AAPL,2026-03-02,262.41,266.53,260.2,264.72,41827900
AAPL,Apple Inc.,AAPL,2026-03-03,263.48,265.56,260.13,263.75,38568900
AAPL,Apple Inc.,AAPL,2026-03-04,264.65,266.15,261.42,262.52,39803100
AAPL,Apple Inc.,AAPL,2026-03-05,260.79,261.56,257.25,260.29,49658600
AAPL,Apple Inc.,AAPL,2026-03-06,258.63,258.77,254.37,257.46,41120000
AAPL,Apple Inc.,AAPL,2026-03-09,255.69,261.15,253.68,259.88,38218500
AAPL,Apple Inc.,AAPL,2026-03-10,257.65,262.48,256.95,260.83,30590800
AAPL,Apple Inc.,AAPL,2026-03-11,261.09,262.13,259.55,260.81,26218900
AAPL,Apple Inc.,AAPL,2026-03-12,258.66,258.95,254.18,255.76,40794000
AAPL,Apple Inc.,AAPL,2026-03-13,255.48,256.33,249.52,250.12,36930000
AAPL,Apple Inc.,AAPL,2026-03-16,252.11,253.89,249.88,252.82,32074200
AAPL,Apple Inc.,AAPL,2026-03-17,252.96,255.13,252.18,254.23,32361600
AAPL,Apple Inc.,AAPL,2026-03-18,252.63,254.94,249.0,249.94,35757900
AAPL,Apple Inc.,AAPL,2026-03-19,249.4,251.83,247.3,248.96,34864100
AAPL,Apple Inc.,AAPL,2026-03-20,247.98,249.2,246.0,247.99,88331100
AAPL,Apple Inc.,AAPL,2026-03-23,253.97,254.6,250.28,251.49,40546100
AAPL,Apple Inc.,AAPL,2026-03-24,250.35,254.83,249.55,251.64,45152300
AAPL,Apple Inc.,AAPL,2026-03-25,254.1,255.0,251.6,252.62,28476700
AAPL,Apple Inc.,AAPL,2026-03-26,252.12,257.0,250.77,252.89,41796700
AAPL,Apple Inc.,AAPL,2026-03-27,253.9,255.49,248.07,248.8,47900000
AAPL,Apple Inc.,AAPL,2026-03-30,250.07,250.87,245.51,246.63,39446200
AAPL,Apple Inc.,AAPL,2026-03-31,247.91,255.48,247.1,253.79,49598100
AAPL,Apple Inc.,AAPL,2026-04-01,254.08,256.18,253.33,255.63,40059400
AAPL,Apple Inc.,AAPL,2026-04-02,254.2,256.13,250.65,255.92,31289400
AAPL,Apple Inc.,AAPL,2026-04-06,256.51,262.16,256.46,258.86,29329900
AAPL,Apple Inc.,AAPL,2026-04-07,256.16,256.2,245.7,253.5,62148000
AAPL,Apple Inc.,AAPL,2026-04-08,258.45,259.75,256.53,258.9,41032800
AAPL,Apple Inc.,AAPL,2026-04-09,259.0,261.12,256.07,260.49,28121600
AAPL,Apple Inc.,AAPL,2026-04-10,259.98,262.19,259.02,260.48,31291500
AAPL,Apple Inc.,AAPL,2026-04-13,259.73,260.18,256.66,259.2,36234700
AAPL,Apple Inc.,AAPL,2026-04-14,259.25,261.93,257.19,258.83,48370700
AAPL,Apple Inc.,AAPL,2026-04-15,258.16,266.56,257.81,266.43,49913500
AAPL,Apple Inc.,AAPL,2026-04-16,266.8,267.16,261.27,263.4,43323100
AAPL,Apple Inc.,AAPL,2026-04-17,266.96,272.3,266.72,270.23,61436200
AAPL,Apple Inc.,AAPL,2026-04-20,270.33,274.28,270.29,273.05,36590200
AAPL,Apple Inc.,AAPL,2026-04-21,271.5,272.8,265.4,266.17,50209800
AAPL,Apple Inc.,AAPL,2026-04-22,267.82,273.74,266.87,273.17,43249200
AAPL,Apple Inc.,AAPL,2026-04-23,275.05,275.77,271.65,273.43,33399600
AAPL,Apple Inc.,AAPL,2026-04-24,272.76,273.06,269.65,271.06,38157100
AAPL,Apple Inc.,AAPL,2026-04-27,266.09,268.36,265.07,267.61,41407600
AAPL,Apple Inc.,AAPL,2026-04-28,272.335,273.22,268.66,269.95,19109260
GOLD,Gold Futures (GC=F),GC=F,2025-04-28,3284.5,3332.5,3284.5,3332.5,1300
GOLD,Gold Futures (GC=F),GC=F,2025-04-29,3340.0,3340.0,3299.8999,3318.8,1278
GOLD,Gold Futures (GC=F),GC=F,2025-04-30,3318.7,3318.7,3268.0,3305.0,207
GOLD,Gold Futures (GC=F),GC=F,2025-05-01,3272.8999,3275.0,3198.6001,3210.0,2131
GOLD,Gold Futures (GC=F),GC=F,2025-05-02,3239.8999,3257.0,3225.0,3231.8999,1349
GOLD,Gold Futures (GC=F),GC=F,2025-05-05,3242.7,3315.7,3239.7,3311.3,244
GOLD,Gold Futures (GC=F),GC=F,2025-05-06,3365.5,3430.8999,3356.8,3411.3999,2357
GOLD,Gold Futures (GC=F),GC=F,2025-05-07,3418.7,3418.7,3364.7,3381.3999,1080
GOLD,Gold Futures (GC=F),GC=F,2025-05-08,3390.0,3390.0,3288.7,3296.6001,200
